timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable
2019-09-06 15:59:00+00:00,,,,,,,,,,,,,,,,protoCBAS-B,,protoCBAS-B,,,,
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-B,,protoCBAS-B,,,,
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-B,,protoCBAS-B,,,,
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 20:26:01+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 20:30:00+00:00,4.0164281982857135,24.357142857142858,55.674285714285716,101.06428571428572,-14.337142857142858,0.0,423.57142857142856,1792.571428571429,25.244285714285716,56.17857142857143,1.5346285785714286,1.2357142857142858,1.3014285714285714,1.3628571428571428,0.0,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:00:00+00:00,4.122920586538462,24.22142857142857,54.21285714285713,100.99785714285713,-8.960714285714285,10.714285714285714,498.78571428571433,1501.0,25.259285714285717,54.19642857142857,3.5022856677142866,1.1864285714285716,1.2557142857142851,1.3228571428571427,4.025714285714286,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:28:54+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:29:21+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:30:00+00:00,4.365013599,24.64,52.76,100.99,-8.02,7.0,532.0,1335.0,26.0,51.8,3.635999918,1.07,1.11,1.14,17.37,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:30:17+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 21:34:27+00:00,,,,,,,,,,,,,,,,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
2019-09-06 22:00:00+00:00,4.4699578285,23.896666666666665,54.25333333333333,100.97333333333331,-7.076666666666665,22.0,422.66666666666674,1424.666666666667,25.433333333333334,52.78333333333334,3.492000023333333,1.26,1.2833333333333334,1.3033333333333337,0.0,protoCBAS-B,sensor position logging,protoCBAS-B,12.6,29.6,0.9,Cubicles (Gnd floor west of event space)
