timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable
2019-08-20 18:30:00+00:00,3.9177962856052635,26.672820512820515,46.032307692307704,101.88205128205132,-82.66974358974356,19.58974358974359,445.79487179487177,752.1794871794873,29.018717948717946,40.65692307692307,38.40498459666666,3.923589743589744,4.037692307692308,4.037692307692308,0.005641025641025641,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 19:00:00+00:00,3.8928220452452815,26.256981132075484,46.514150943396245,101.86396226415094,-80.99886792452833,28.509433962264147,415.01886792452825,763.8490566037735,28.908113207547174,40.422075471698115,25.62532824415095,3.7726415094339627,3.8832075471698113,3.8832075471698113,0.01867924528301887,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 19:30:00+00:00,3.8783367264716984,25.99962264150943,46.576226415094325,101.81584905660381,-77.01490566037738,34.264150943396224,419.98113207547175,774.7547169811321,28.559433962264148,40.59169811320754,21.069237619245282,3.579056603773584,3.683962264150944,3.683962264150944,0.02320754716981132,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 20:00:00+00:00,3.862178383651517,25.88939393939397,46.62272727272728,101.78621212121205,-74.68818181818176,38.5,433.96969696969705,772.9090909090909,28.4889393939394,40.56681818181819,16.527818116060608,3.5134848484848487,3.6159090909090903,3.6159090909090903,0.013333333333333334,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 20:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 21:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 21:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 22:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 22:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 23:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-20 23:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 00:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 00:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 01:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 01:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 02:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 02:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 03:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 03:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 04:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 04:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 05:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 05:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 06:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 06:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 07:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 07:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 08:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 08:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 09:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 09:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 10:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 10:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 11:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 11:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 12:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 12:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 13:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 13:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 14:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 14:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 15:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 15:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 16:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 17:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 17:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 18:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 18:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 19:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 19:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 20:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 20:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 21:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 21:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 22:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 22:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
2019-08-21 23:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-D,,protoCBAS-D,,,,
