timestamp,battery,Tdb_BME680,RH_BME680,P_BME680,Alt_BME680,TVOC,ECO2,RCO2,Tdb_scd30,RH_scd30,Lux,PM1,PM25,PM10,Air,sensor_SD,note,sensor_note,Coord_X_m,Coord_Y_m,Coord_Z_m,Position_HumanReadable,Wkdy(EST),Hour(EST),Month(EST),TOD(EST)
2019-09-06 15:59:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,11,9,1159
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200
2019-09-06 16:00:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,12,9,1200
2019-09-06 20:26:01+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,16,9,1626
2019-09-06 21:28:54+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1728
2019-09-06 21:29:21+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1729
2019-09-06 21:30:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1730
2019-09-06 21:34:27+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1734
2019-09-06 23:20:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,19,9,1920
2019-09-06 23:23:17+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,19,9,1923
2019-09-07 00:21:46+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,20,9,2021
2019-09-09 19:14:29+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,1,15,9,1514
2019-09-10 17:55:31+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,2,13,9,1355
2019-09-10 18:05:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,2,14,9,1405
2019-09-10 18:12:22+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,2,14,9,1412
2019-09-13 21:42:54+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,5,17,9,1742
2019-09-19 16:29:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,4,12,9,1229
2019-09-19 16:30:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,4,12,9,1230
2019-09-19 16:32:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,4,12,9,1232
2019-09-19 16:34:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,,protoCBAS-G,,,,,4,12,9,1234
2019-09-19 16:36:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,12,9,1236
2019-09-19 18:20:00+00:00,3.88182038075,27.0575,33.0175,102.78,-156.5625,96.75,667.0,824.75,28.6425,32.0025,104.7025,1.22,1.2525,1.2525,0.0,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1420
2019-09-19 18:25:00+00:00,,,,,,,,,,,,,,,,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1425
2019-09-19 18:30:00+00:00,4.2084388735000005,27.24,31.175,102.76,-154.87,46.5,522.5,763.5,29.3,29.625,14.895000000000005,1.41,1.49,1.53,0.0,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1430
2019-09-19 18:35:00+00:00,4.0702713014,27.55,30.718000000000004,102.75,-154.16199999999995,86.0,556.0,770.8,29.629999999999995,29.074,124.194,1.3,1.362,1.388,0.0,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1435
2019-09-19 18:40:00+00:00,3.9842954158,27.772,30.284000000000002,102.73999999999998,-153.506,117.2,580.2,774.4,29.94,28.608,118.42200000000001,1.354,1.392,1.3940000000000001,0.064,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1440
2019-09-19 18:45:00+00:00,3.888442564200001,27.892000000000003,30.572000000000006,102.744,-153.834,150.2,574.8,794.8,29.803999999999995,28.971999999999998,81.936,1.404,1.4420000000000002,1.4420000000000002,0.208,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1445
2019-09-19 18:50:00+00:00,4.1472679139999995,27.728,29.98800000000001,102.75,-154.29199999999997,165.8,525.6,781.8,29.538,28.68,212.304,1.2879999999999998,1.3240000000000005,1.3240000000000005,0.108,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1450
2019-09-19 18:55:00+00:00,4.06196564425,27.7175,29.8825,102.75,-154.29250000000005,185.0,518.5,777.25,29.3425,28.91,77.085,1.2825,1.3175,1.3175,0.085,protoCBAS-G,2nd Position adjustment - G,protoCBAS-G,17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1455
2019-09-19 18:59:03+00:00,,,,,,,,,,,,,,,,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,14,9,1459
2019-09-19 19:00:00+00:00,3.9930501938,27.854000000000006,29.814,102.74,-153.506,212.4,550.0,774.6,29.266,29.12,76.23599999999998,1.194,1.2240000000000002,1.2240000000000002,0.124,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1500
2019-09-19 19:05:00+00:00,4.0559046744,27.634000000000004,29.97,102.728,-152.5,222.6,544.8,791.6,29.261999999999997,29.01,75.36,1.2979999999999998,1.3319999999999999,1.3319999999999999,0.15,protoCBAS-G,moved sensors A on bridge LTE by Haley (new)  D in Lynq loft,"protoCBAS-A, protoCBAS-D, protoCBAS-G",17.7,33.2,0.9,Hailey's cubicle (ground floor),4,15,9,1505
